datetime_str,x,y,z,vx,vy,vz,r_au,speed_au_per_day
A.D. 2026-Jan-17 00:00:00.0000,-1.761316201001621,2.634393215134153,-0.08546449905491497,-0.003755807942637086,0.0359016218447042,-0.002226665087261947,3.1701051327131644,0.036166152432805854
A.D. 2026-Jan-22 00:00:00.0000,-1.77989992094211,2.813604417344777,-0.09658793523707516,-0.003679434187991307,0.03578448110819301,-0.002222725448694044,3.33072706403649,0.036041751241395775
A.D. 2026-Jan-27 00:00:00.0000,-1.79812660943022,2.992253466041075,-0.1076919358572081,-0.003612712316533795,0.03567660705549667,-0.002218894704318072,3.492626184066156,0.03592764221297023
A.D. 2026-Feb-01 00:00:00.0000,-1.816040559722571,3.170384466062832,-0.1187770915472348,-0.003554109325531848,0.03557712296639286,-0.002215189130060421,3.6556051447997495,0.03582276419465154
A.D. 2026-Feb-06 00:00:00.0000,-1.83367914539321,3.348037364892796,-0.1298440435356216,-0.003502379603545926,0.03548524359105769,-0.002211613017193441,3.8195016534372583,0.03572618658269946
A.D. 2026-Feb-11 00:00:00.0000,-1.851074109927901,3.525248422380201,-0.140893426464704,-0.003456508667246881,0.03540027983008838,-0.002208159296095114,3.9841815668416056,0.03563710470411768
A.D. 2026-Feb-16 00:00:00.0000,-1.868252614194822,3.702050704320334,-0.1519258058807846,-0.003415672481809193,0.03532164451763575,-0.002204806428433996,4.149533551894356,0.035554838789116736
A.D. 2026-Feb-21 00:00:00.0000,-1.885238122061158,3.878474620104453,-0.1629415835767225,-0.003379214206336251,0.03524886539477566,-0.002201507584397303,4.315464994102669,0.03547884208814426
A.D. 2026-Feb-26 00:00:00.0000,-1.902051232446563,4.054548558437568,-0.1739408077926937,-0.003346649093157528,0.03518161261978472,-0.002198160192282805,4.481898962292124,0.03540872540649076
A.D. 2026-Mar-03 00:00:00.0000,-1.918710671704716,4.230299704561225,-0.1849227159131298,-0.003317733767576143,0.03511974168501457,-0.002194519600989634,4.648772165097472,0.03534429981841192
A.D. 2026-Mar-08 00:00:00.0000,-1.935234989547862,4.405754967214098,-0.1958845215288466,-0.003292702410997791,0.03506325405654825,-0.002189961612643536,4.816033849722881,0.035285543868081304
A.D. 2026-Mar-13 00:00:00.0000,-1.951645974041729,4.580940257271228,-0.2068185586874854,-0.003272643526900677,0.03501144988247216,-0.002183139673561043,4.983644205287838,0.03523177425792378
A.D. 2026-Mar-18 00:00:00.0000,-1.96797052246031,4.755870967429342,-0.217711075123554,-0.003257798461916614,0.03496054485909547,-0.002173643358409213,5.151564301097431,0.035179222178906254
A.D. 2026-Mar-23 00:00:00.0000,-1.984225273225829,4.930542684641021,-0.2285571767151398,-0.003243883193004094,0.03490813758430704,-0.002165317197190216,5.319740546587136,0.035125339092159834
A.D. 2026-Mar-28 00:00:00.0000,-2.0004069489892,5.104955716093762,-0.239369378626467,-0.003228637716129223,0.03485761698605645,-0.002159968667859155,5.488123406435634,0.035073394875528616
A.D. 2026-Apr-02 00:00:00.0000,-2.016511260036282,5.279124694506154,-0.2501597140868154,-0.003213132543813809,0.03481054878285747,-0.002156356837638144,5.656682339017262,0.03502496826720966
A.D. 2026-Apr-07 00:00:00.0000,-2.032539215465861,5.453066578317645,-0.2609342862384689,-0.003198174648283534,0.03476670294391681,-0.00215356561710797,5.825395906863864,0.034979848477926075
A.D. 2026-Apr-12 00:00:00.0000,-2.04849439960172,5.626796347964043,-0.2716960678435734,-0.003184045942014731,0.03472563513222125,-0.002151199695612162,5.99424600762621,0.03493759499489656
A.D. 2026-Apr-17 00:00:00.0000,-2.064381159136945,5.800326960856407,-0.2824467034542752,-0.003170805371918928,0.03468698893827856,-0.002149088621344421,6.163216576052598,0.03489784793097192
A.D. 2026-Apr-22 00:00:00.0000,-2.080203897095837,5.973669819799417,-0.2931872419022808,-0.003158430228944235,0.03465049411791177,-0.002147151420407503,6.332293275606348,0.034860331084897986
A.D. 2026-Apr-27 00:00:00.0000,-2.095966818881501,6.146835132394419,-0.3039184351150649,-0.003146869328917977,0.03461593877721122,-0.002145345246205351,6.50146333265776,0.034824826061681
A.D. 2026-May-02 00:00:00.0000,-2.111673848510093,6.319832150142609,-0.3146408704850961,-0.003136063314646708,0.03458314986139938,-0.002143645029284626,6.670715383363107,0.034791153494258535
A.D. 2026-May-07 00:00:00.0000,-2.127328610739049,6.492669330538749,-0.3253550350185792,-0.00312595262857786,0.03455198131458714,-0.002142034737280653,6.840039323907382,0.03475916146018785
