targetname,datetime_jd,datetime_str,M1,x,k1,y,z,vx,vy,vz,lighttime,range,range_rate,r_au,speed_au_per_day
ATLAS (C/2025 N1),2460994.5,A.D. 2025-Nov-15 00:00:00.0000,12.5,-1.452135946202836,4.5,0.3043828704411525,0.05562214476184185,-0.007227135442773283,0.0382451149900877,-0.002203031220301659,0.008575121096627796,1.484736192412749,0.01482647478831875,1.4847361924127493,0.03898427444330399
ATLAS (C/2025 N1),2460995.5,A.D. 2025-Nov-16 00:00:00.0000,12.5,-1.459297999155028,4.5,0.3426138029734076,0.05341665899729504,-0.007097523974053673,0.03821632942194782,-0.002207882877079885,0.00866286975095173,1.499929400933325,0.01555600333719686,1.4999294009333246,0.03893247266547559
ATLAS (C/2025 N1),2460996.5,A.D. 2025-Nov-17 00:00:00.0000,12.5,-1.466332113309322,4.5,0.3808147239847083,0.05120649207602206,-0.006971269266496135,0.03818512784121525,-0.002212395358741738,0.008754763459712291,1.515840303381746,0.01626184886017538,1.515840303381746,0.038879265382197326
ATLAS (C/2025 N1),2460997.5,A.D. 2025-Nov-18 00:00:00.0000,12.5,-1.473241676187139,4.5,0.4189833244992142,0.04899197755812108,-0.006848429390943938,0.03815172362455873,-0.002216580029147555,0.008850665317245985,1.532445195277195,0.0169439879714692,1.532445195277195,0.03882484034317557
ATLAS (C/2025 N1),2460998.5,A.D. 2025-Nov-19 00:00:00.0000,12.5,-1.480030123280547,4.5,0.4571175065677435,0.04677343726894106,-0.006729042470143031,0.03811632519768637,-0.002220448963749324,0.008950438610267978,1.549720405448187,0.01760250879082504,1.5497204054481872,0.038769377770882324
ATLAS (C/2025 N1),2460999.5,A.D. 2025-Nov-20 00:00:00.0000,12.5,-1.486700918876106,4.5,0.4952153776064739,0.04455118067596765,-0.00661312823621992,0.03807913465688862,-0.002224014774775314,0.009053947429071531,1.567642401858473,0.01823759956704502,1.5676424018584731,0.03871304951827696
ATLAS (C/2025 N1),2461000.5,A.D. 2025-Nov-21 00:00:00.0000,12.5,-1.493257538469961,4.5,0.5332752434822583,0.04232550443384336,-0.006500689648866399,0.03804034663896384,-0.002227290450017925,0.009161057212952739,1.586187886044402,0.01884953731566432,1.5861878860444019,0.03865601843273758
ATLAS (C/2025 N1),2461001.5,A.D. 2025-Nov-22 00:00:00.0000,12.5,-1.499703452815228,4.5,0.5712956005868499,0.04009669208329605,-0.006391714535759746,0.03800014742658825,-0.002230289206372373,0.009271635230567312,1.605333876286124,0.01943867668062794,1.605333876286123,0.03859843791001321
ATLAS (C/2025 N1),2461002.5,A.D. 2025-Nov-23 00:00:00.0000,12.5,-1.506042113606949,4.5,0.6092751271273319,0.03786501388888465,-0.006286177222276298,0.03795871427229586,-0.002233024358719539,0.00938555099702494,1.625057779825233,0.02000543919080042,1.625057779825234,0.03854045161985388
ATLAS (C/2025 N1),2461003.5,A.D. 2025-Nov-24 00:00:00.0000,12.5,-1.512276940779785,4.5,0.6472126738417977,0.0356307268001231,-0.006184040123145208,0.03791621492159103,-0.002235509204272444,0.009502676630404293,1.64533745459344,0.0205503030447277,1.6453374545934398,0.03848219338378907
ATLAS (C/2025 N1),2461004.5,A.D. 2025-Nov-25 00:00:00.0000,12.5,-1.518411311368976,4.5,0.6851072543289906,0.03339407452062507,-0.006085255274108719,0.03787280731417802,-0.002237756922115332,0.009622887151040696,1.666151261032609,0.02107379352241084,1.6661512610326081,0.03842378718515913
